                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
27/06/13  1:45a   12.1   12.1   12.1    85    9.6   0.0   ---   0.00   0.0   ---   12.1   12.0   12.0   10.7  1016.7  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.3    84    9.7   12.2  17.90 1.2269     0.00   117    1    100.0    5 
27/06/13  1:50a   12.1   12.1   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.1   12.0   12.0   10.7  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2270     0.00   117    1    100.0    5 
27/06/13  1:55a   12.1   12.1   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.1   12.0   12.0   10.7  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2269     0.00   117    1    100.0    5 
27/06/13  2:00a   12.0   12.1   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2269     0.00   116    1    100.0    5 
27/06/13  2:05a   12.0   12.1   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2268     0.00   117    1    100.0    5 
27/06/13  2:10a   12.0   12.0   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2270     0.00   116    1    100.0    5 
27/06/13  2:15a   12.0   12.0   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2270     0.00   117    1    100.0    5 
27/06/13  2:20a   12.0   12.0   12.0    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2269     0.00   117    1    100.0    5 
27/06/13  2:25a   12.0   12.0   11.9    85    9.6   0.0   ---   0.00   0.0   ---   12.0   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2269     0.00   117    1    100.0    5 
27/06/13  2:30a   11.9   12.0   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2268     0.00   117    1    100.0    5 
27/06/13  2:35a   11.9   12.0   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2267     0.00   117    1    100.0    5 
27/06/13  2:40a   11.9   12.0   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2271     0.00   118    1    100.0    5 
27/06/13  2:45a   11.9   11.9   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.6   12.2  17.91 1.2268     0.00   117    1    100.0    5 
27/06/13  2:50a   11.9   11.9   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2272     0.00   116    1    100.0    5 
27/06/13  2:55a   11.9   11.9   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2272     0.00   117    1    100.0    5 
27/06/13  3:00a   11.9   11.9   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2272     0.00   117    1    100.0    5 
27/06/13  3:05a   11.9   11.9   11.9    85    9.5   0.0   ---   0.00   0.0   ---   11.9   11.9   11.9   10.6  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2273     0.00   117    1    100.0    5 
27/06/13  3:10a   11.9   11.9   11.9    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2272     0.00   117    1    100.0    5 
27/06/13  3:15a   11.9   11.9   11.9    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.2    84    9.5   12.1  17.92 1.2274     0.00   117    1    100.0    5 
27/06/13  3:20a   11.9   11.9   11.9    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.1    84    9.5   12.1  17.92 1.2276     0.00   117    1    100.0    5 
27/06/13  3:25a   11.9   11.9   11.9    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.1    84    9.5   12.1  17.92 1.2276     0.00   117    1    100.0    5 
27/06/13  3:30a   11.9   11.9   11.9    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.1    84    9.5   12.1  17.92 1.2274     0.00   117    1    100.0    5 
27/06/13  3:35a   11.9   11.9   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.1    84    9.5   12.1  17.92 1.2276     0.00   117    1    100.0    5 
27/06/13  3:40a   11.9   11.9   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.9   11.8   11.8   10.5  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.022   0.000   12.1    84    9.5   12.1  17.92 1.2277     0.00   117    1    100.0    5 
27/06/13  3:45a   11.8   11.9   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    84    9.5   12.1  17.92 1.2276     0.00   118    1    100.0    5 
27/06/13  3:50a   11.8   11.9   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    84    9.5   12.1  17.92 1.2275     0.00   117    1    100.0    5 
27/06/13  3:55a   11.8   11.8   11.8    85    9.4   0.0   ---   0.00   0.0   ---   11.8   11.8   11.8   10.4  1016.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.023   0.000   12.1    84    9.5   12.1  17.92 1.2275     0.00   116    1    100.0    5 
